No;nama_pemda;Tahun;Ekonomi;Kesehatan;Ketertiban;Lingkungan;ParBud;Pelayanan;Pendidikan;Sosial;Rumah_Fasum;Populasi;Base_AHH;Target_AHH;Base_HLS;Target_HLS;Base_RLS;Target_RLS;Base_PPK;Target_PPK;Base_IPM;Target_IPM
490;Kab. Mamuju;2019;84802304986;174120000000;17205911179;13794216845;12794493032;297031000000;217274000000;16950704375;147872000000;293326;66.94;67.23;13.14;13.18;7.53;7.69;9308;9535;67.11;67.72
491;Kab. Mamuju Tengah;2019;43034421537;141242000000;8879362324;5288094259;6795166339;140100000000;123900000000;9055425145;190646000000;134028;67.79;68.06;11.71;11.92;7.23;7.24;8243;8501;64.43;65.1
492;Kab. Mamuju Utara;2019;64214943212;115730000000;11273366604;7651525337;6461657369;172875000000;192257000000;10363598798;187458000000;174471;65.62;65.91;11.59;11.66;7.68;7.92;10915;11094;66.6;67.27
493;Kab. Manggarai;2019;71314530861;246213000000;11837962869;6571648472;8029654938;146164000000;299877000000;10054433580;173049000000;338424;66.23;66.77;12.71;13.14;7.26;7.27;7175;7276;63.32;64.15
494;Kab. Manggarai Barat;2019;85042865335;154336000000;16557489794;8574340908;13096306095;177970000000;291348000000;13462433796;187778000000;274689;66.58;67.12;11.55;11.96;7.18;7.19;7426;7602;62.58;63.5
496;Kab. Manokwari;2019;100025000000;199382000000;28003213342;53754116174;9332048846;385976000000;209678000000;30043914217;155775000000;175178;68.22;68.68;13.63;13.65;8.04;8.25;11789;12207;71.17;71.67
497;Kab. Manokwari Selatan;2019;72944926723;60923322577;22528644293;12201504973;7520251671;299384000000;58053348926;40774928114;143119000000;24220;67.16;67.58;12.32;12.35;6.48;6.63;5225;5505;58.84;59.72
498;Kab. Maros;2019;68144078909;257962000000;36948747074;27606572476;13007674507;263136000000;372356000000;4806001909;199661000000;353121;68.74;68.98;12.99;13.02;7.43;7.46;10558;10121;68.94;69.5
499;Kab. Maybrat;2019;40486661022;95660510976;25221968488;12500601430;8770687888;299441000000;89533122139;14282330486;223610000000;40899;64.93;65.19;12.67;13.21;6.53;6.85;5168;5336;58.16;59.15
501;Kab. Merangin;2019;78133581675;213393000000;19380718527;11687333104;5195586103;248632000000;402388000000;14872527120;187879000000;389232;71.04;71.18;11.97;11.98;7.67;7.68;10133;10312;68.81;69.07
502;Kab. Merauke;2019;142786000000;378456000000;32836792085;30191875219;12428597352;518316000000;376851000000;43912254613;300536000000;227411;66.71;66.93;13.24;13.59;8.49;8.56;10430;10498;69.38;69.98
503;Kab. Mimika;2019;359461000000;358335000000;500933000000;79135226771;13203911164;973944000000;301738000000;53325129964;0;219689;72.06;72.27;11.77;12.17;9.76;9.91;11700;12035;73.15;74.13
504;Kab. Minahasa;2019;63112518775;175335000000;26954202589;14467989443;7568867083;295178000000;360018000000;20855245272;77024066590;341176;70.67;70.98;13.96;13.97;9.56;9.58;12319;12720;74.97;75.47
505;Kab. Minahasa Selatan;2019;59282959755;133606000000;14292881659;4611655857;12124906456;225996000000;258442000000;25351322324;93316688069;210695;69.47;69.8;12.08;12.43;8.84;8.85;11410;11760;70.86;71.68
506;Kab. Mojokerto;2019;83512430059;468959000000;36348471006;34608077858;21406811790;404450000000;729313000000;20075728034;298199000000;1108718;72.24;72.43;12.52;12.53;8.18;8.49;12240;12454;72.64;73.53
507;Kab. Morowali;2019;115019000000;242101000000;17503627582;12017049002;6998499308;184600000000;233629000000;15403052640;128024000000;256390;68.45;68.82;12.88;13.305;8.98;9.11;11159;11306;71.14;72.02
508;Kab. Muara Enim;2019;161983000000;417100000000;26049166059;26031945811;6622899874;449813000000;649345000000;30257104690;767042000000;637556;68.38;68.63;11.95;11.96;7.6;7.78;11012;11285;68.28;68.88
509;Kab. Muaro Jambi;2019;65934035523;167902000000;14610431650;6003124578;6164743497;254620000000;411669000000;18784046313;253530000000;438790;71.02;71.18;12.81;12.82;8.09;8.33;8456;8697;68.34;69.01
510;Kab. Mukomuko;2019;50690344639;179502000000;13484359457;5859543768;4776112824;193521000000;197196000000;9743868117;106872000000;193900;66.16;66.51;12.71;12.72;7.88;7.99;10036;10381;67.47;68.12
511;Kab. Muna Barat;2019;62490268239;64062635389;13325354496;6863352687;6817285464;114829000000;142290000000;16083844409;143381000000;81624;68.06;70.16;12.13;12.2;6.76;6.77;7405;7526;64.11;64.45
512;Kab. Musi Banyuasin;2019;185374000000;487839000000;32678602332;68802830487;20170297378;648523000000;804773000000;58684842494;853348000000;649085;68.33;68.54;11.98;11.99;7.6;7.61;10212;10364;67.57;67.83
513;Kab. Musi Rawas;2019;118832000000;243638000000;34089416302;11210752266;11197161852;293541000000;398807000000;22768427729;416424000000;405175;67.59;67.86;11.99;12.07;7.28;7.51;9562;9795;66.18;66.92
514;Kab. Nabire;2019;131534000000;233093000000;12672168983;9575659980;8568224164;538740000000;175788000000;23400219952;109633000000;150308;67.72;67.97;11.14;11.59;9.53;9.7;9143;9195;67.7;68.53
515;Kab. Nagan Raya;2019;70295245843;171355000000;7073051197;9645104666;4930317063;161484000000;243315000000;36709952051;191720000000;167294;68.89;69.14;14.11;14.12;8.26;8.5;7936;8348;68.15;69.11
516;Kab. Nagekeo;2019;63155176826;144805000000;8123067261;4016025554;5256700922;113267000000;179908000000;7403750448;114683000000;145826;66.62;67.03;12.46;12.47;7.82;7.83;8219;8469;65.35;65.88
517;Kab. Natuna;2019;105442000000;182421000000;33429004757;10310966645;727851749;307179000000;217040000000;16016215378;238844000000;77771;64.57;64.81;13.88;13.89;8.71;8.72;14217;14821;72.1;72.63
518;Kab. Nganjuk;2019;103253000000;462802000000;16209027190;26355808169;12117285731;315909000000;829058000000;16934002028;341423000000;1051900;71.25;71.44;12.83;12.84;7.61;7.63;11560;11768;71.23;71.71
519;Kab. Nias Barat;2019;24062402765;61889376216;4914655137;3161326704;11692601108;250998000000;78027956563;3369586091;108478000000;82154;68.5;68.82;12.66;12.71;6;6.14;5817;6009;60.42;61.14
520;Kab. Nias Selatan;2019;38451571562;124849000000;9216244097;5292654320;13525044145;411229000000;203846000000;7393144062;140274000000;319902;68.24;68.58;12.2;12.22;5.2;5.53;6941;7105;60.75;61.59
521;Kab. Nias Utara;2019;40737424277;84219488308;10724279835;2688339852;10964022871;228440000000;143208000000;5749563946;147249000000;137967;68.98;69.29;12.58;12.78;6.09;6.25;6041;6245;61.08;61.98
522;Kab. Nunukan;2019;73628893724;206936000000;33929727102;16123997669;6333020232;200728000000;257945000000;11928676376;131833000000;196918;71.27;71.3;12.62;12.63;7.73;7.81;6956;7290;65.67;66.32
523;Kab. Ogan Ilir;2019;51272794883;158870000000;19574570065;6224745813;2716203113;264613000000;480475000000;17578292679;277907000000;429595;64.96;65.21;12.28;12.29;7.58;7.85;10412;10777;66.43;67.22
524;Kab. Ogan Komering Ilir;2019;80690945342;304787000000;11053513089;21081441660;5872307638;329493000000;648135000000;21087779490;514528000000;832151;68.22;68.41;11.4;11.41;7.02;7.03;10706;11032;66.57;66.96
525;Kab. Ogan Komering Ulu;2019;66209332704;219655000000;27094452593;10922607950;7561864810;284156000000;359721000000;19054707020;329341000000;368756;67.83;68.01;12.57;12.59;8.68;8.69;9940;10261;69.01;69.45
526;Kab. OKU Timur;2019;67424147342;287435000000;20918729603;11695268390;3438821493;253140000000;540074000000;15016291754;431337000000;677080;68.65;68.87;12.04;12.22;7.27;7.54;11612;11753;68.58;69.34
527;Kab. Padang Lawas;2019;44707085094;159639000000;10166353425;6440215499;282287080;169553000000;266058000000;9245716060;194550000000;281239;66.69;66.98;13;13.02;8.67;8.69;8772;9100;67.59;68.16
528;Kab. Padang Lawas Utara;2019;51479423479;129961000000;23745027826;14056994118;3641283761;150488000000;276583000000;9013012722;184833000000;272713;66.77;67.06;12.42;12.47;9.06;9.1;9912;10194;68.77;69.29
529;Kab. Pandeglang;2019;105727000000;393258000000;18457505829;132412000000;12836639197;400586000000;1013080000000;17965165307;97716290348;1211909;64.24;64.49;13.42;13.46;6.72;6.96;8613;8719;64.34;64.91
530;Kab. Pangandaran;2019;51805858389;353153000000;14145466375;10478934403;53952573543;175571000000;395833000000;9276235526;193652000000;399284;70.84;71.12;12.04;12.06;7.58;7.67;8968;9423;67.44;68.21
531;Kab. Pangkajene Kepulauan;2019;72078055620;275271000000;8007493141;18520203521;8807066637;248554000000;429659000000;27131028079;139422000000;335514;66.12;66.49;12.41;12.51;7.49;7.6;11197;10837;67.71;68.29
532;Kab. Paniai;2019;49389692277;166372000000;16722224832;7983796276;6744695371;341260000000;100517000000;22473765171;72509628178;177410;65.94;66.27;10.47;10.48;4.2;4.38;6535;6767;55.83;56.58
533;Kab. Parigi Moutong;2019;101464000000;354464000000;18131568878;5435428587;16467133377;250400000000;430434000000;30814774401;137141000000;153990;63.57;63.94;12.485;12.495;7.18;7.47;9808;10128;64.85;65.47
534;Kab. Pasaman;2019;54772307769;223315000000;12865842608;8424683021;2585580930;152209000000;341014000000;15738404902;90146074767;382817;66.82;67.18;12.78;12.79;7.66;7.86;8238;8599;65.6;66.46
535;Kab. Pasaman Barat;2019;61949741291;221337000000;11294941041;7797861465;6540808417;182632000000;372752000000;54221146691;157605000000;247579;67.37;67.67;13.22;13.4;7.86;8.06;8979;9180;67.43;68.21
536;Kab. Pati;2019;130124000000;481803000000;19287295612;7766064419;12522775201;288414000000;853626000000;17829713319;345236000000;1259590;75.93;76.04;12.3;12.41;7.18;7.19;10190;10660;70.71;71.35
537;Kab. Pegunungan Arfak;2019;25857914215;42464868772;15176412636;1100702500;5720915413;277931000000;57787114544;40008002089;223696000000;30976;66.89;67.24;11.33;11.72;4.97;5.12;4979;5099;55.31;56.15
538;Kab. Pekalongan;2019;106133000000;412064000000;16827783900;13311935506;7347773487;308137000000;704091000000;23617862280;200069000000;897711;73.53;73.57;12.17;12.4;6.74;6.88;10221;10508;68.97;69.71
539;Kab. Pelalawan;2019;100558000000;207887000000;33546234717;22778730521;17113396054;329568000000;449143000000;24707872359;133924000000;483622;70.74;71.03;12.16;12.17;8.44;8.49;11894;12149;71.44;71.85
540;Kab. Pemalang;2019;138110000000;368857000000;13434862751;28837534785;26164203609;348796000000;900741000000;26798124331;250307000000;1302813;73.11;73.22;11.91;11.94;6.32;6.41;8186;8546;65.67;66.32
541;Kab. Penukal Abab Lematang Ilir;2019;53184480816;164118000000;15131462213;11519646500;6690392816;261577000000;219538000000;20466349913;718945000000;190062;67.88;68.07;11.7;11.9;6.58;6.75;8136;8400;63.49;64.33
542;Kab. Pesawaran;2019;59279791127;121125000000;16760534460;9207258477;9219456764;232526000000;412030000000;13372086514;162471000000;444380;68.53;68.88;12.28;12.29;7.47;7.6;7724;8059;64.97;65.75
543;Kab. Pesisir Barat;2019;35910458891;73090516135;9630341206;12447383929;6481740279;199278000000;190792000000;10284206491;113191000000;154895;62.85;63.27;11.97;11.98;7.59;7.82;8355;8652;62.96;63.79
544;Kab. Pesisir Selatan;2019;97849379761;254512000000;14974226713;204115000000;10737512842;212156000000;583058000000;16229056165;38053889065;92021;70.45;70.73;13.3;13.31;8.14;8.25;9089;9444;69.4;70.08
545;Kab. Pidie;2019;112493000000;438444000000;12536743204;26688748229;10744140862;212282000000;479584000000;18401296866;226895000000;444976;66.68;66.89;14.44;14.45;8.81;8.82;9492;9824;69.93;70.41
546;Kab. Pidie Jaya;2019;81655357097;157987000000;7339924880;12121230685;3812041129;177826000000;224796000000;15803525798;128931000000;161215;69.81;70.06;14.53;14.54;8.86;9.04;9967;10364;71.12;72.87
547;Kab. Pinrang;2019;122474000000;233302000000;16660456813;13158604638;8017090487;238732000000;389246000000;11007521688;117267000000;377119;68.98;69.39;13.2;13.22;7.84;7.85;11508;11279;70.62;71.12
548;Kab. Pohuwato;2019;87161364542;196953000000;14570717214;10419557629;8480496836;193771000000;200871000000;24666624011;90570742091;161373;63.25;63.83;12.35;12.36;6.85;7.1;10076;10316;64.44;65.27
549;Kab. Polewali Mandar;2019;52045748104;315375000000;11815982712;32929474496;5603793530;312524000000;453392000000;9520835440;140206000000;442576;61.97;62.18;13.02;13.05;7.24;7.4;8355;8598;63.14;63.74
550;Kab. Ponorogo;2019;109803000000;365535000000;16561404378;19324946295;16336148061;332627000000;746565000000;27396162063;331302000000;870705;72.43;72.65;13.7;13.71;7.17;7.21;9107;9426;69.91;70.56
551;Kab. Poso;2019;98557600949;229753000000;12608599115;17837391869;11685725149;243997000000;358990000000;17092811937;174332000000;304110;70.51;70.85;13.645;13.735;9.04;9.36;8936;9091;70.68;71.4
552;Kab. Pringsewu;2019;52178969759;135990000000;12470612729;16614802312;4248165877;205468000000;400428000000;13564554865;153738000000;400187;69.44;69.85;12.78;12.82;8.01;8.19;10190;10289;69.42;69.97
553;Kab. Probolinggo;2019;169553000000;338148000000;19638522138;22721890653;19742492598;338666000000;674398000000;31413069190;243767000000;1162092;66.71;67;12.06;12.07;5.71;5.77;10239;10700;64.85;65.6
554;Kab. Pulang Pisau;2019;58665403560;103001000000;8324496866;6016203691;4363808247;131227000000;267971000000;19531073313;210172000000;127118;67.92;67.98;12.39;12.4;7.7;8.08;9807;10104;67.54;68.34
555;Kab. Pulau Morotai;2019;70848824807;183603000000;0;7981888951;24159626438;172544000000;115548000000;12333998648;120766000000;67284;66.58;66.99;12.41;12.43;6.96;7.1;6294;6655;61.39;62.38
556;Kab. Pulau Taliabu;2019;34280140708;63999349075;16438131897;8827583700;2647620507;115682000000;119243000000;6788103472;169134000000;53018;61.58;61.95;12.14;12.58;7.44;7.46;6455;6659;59.67;60.62
557;Kab. Purbalingga;2019;105810000000;356526000000;17416479440;29065402916;12721278132;297613000000;705675000000;16969353605;159516000000;933989;72.98;73.02;11.95;11.98;7;7.14;9786;10131;68.41;68.99
558;Kab. Purwakarta;2019;114323000000;329509000000;44111454420;38664606145;9515532950;447863000000;740403000000;29701711878;210079000000;962893;70.61;70.8;12.09;12.1;7.75;7.92;11372;11819;69.98;70.67
559;Kab. Purworejo;2019;102893000000;331324000000;20340247300;15579789286;42169342214;296928000000;647862000000;20783078464;203674000000;718316;74.4;74.52;13.48;13.49;7.7;7.91;10048;10342;71.87;72.5
560;Kab. Rejang Lebong;2019;58847682525;229528000000;24718282522;14166303265;11875223279;214120000000;287139000000;22081478449;128868000000;260900;67.65;68.37;13.55;13.68;8.05;8.26;10045;10162;69.4;70.1
561;Kab. Rembang;2019;119231000000;305273000000;22138574484;16233907182;8338898297;301080000000;561812000000;22725246804;107072000000;638188;74.39;74.43;12.05;12.1;6.95;7.15;10191;10551;69.46;70.15
562;Kab. Rokan Hilir;2019;96821118019;221136000000;18809588281;31246893434;0;380514000000;524568000000;48096956773;406846000000;714497;69.87;70.17;12.63;12.67;8.15;8.24;9316;9672;68.73;69.4
563;Kab. Rote Ndao;2019;63911680532;94747709583;6724512517;3591036697;6492217087;152271000000;198844000000;11080769683;121163000000;172104;63.8;64.34;13.16;13.17;7.24;7.29;6484;6720;61.51;62.22
564;Kab. Samosir;2019;31240202440;102824000000;10506595456;15043777233;21517211588;130790000000;230667000000;11632461324;141073000000;126188;70.87;71.16;13.44;13.46;9.14;9.15;8348;8654;69.99;70.55
565;Kab. Sampang;2019;75131592384;296343000000;9346436751;21748962150;0;14986272533;548285000000;14601638184;263074000000;968520;67.79;67.96;11.38;11.76;4.36;4.55;8352;8569;61;61.94
566;Kab. Sanggau;2019;67022590220;258062000000;18098079808;9383426817;7670180983;258084000000;475792000000;19381597261;229922000000;470224;71.05;71.35;11.54;11.56;6.94;6.95;8126;8410;65.15;65.67
567;Kab. Sangihe;2019;62541425071;222930000000;16503346389;6520445163;11127819118;209431000000;234232000000;15811777401;75425627048;131163;69.6;69.96;12.04;12.31;7.9;8.04;11397;11663;69.67;70.53
568;Kab. Sarolangun;2019;172617000000;167888000000;16388854684;5688171364;8817577752;127985000000;351569000000;22907667762;336540000000;300425;68.94;69.09;12.25;12.26;7.63;7.76;11609;11679;69.41;69.72
569;Kab. Sekadau;2019;60184198499;114182000000;7879763080;7934661988;0;176215000000;230843000000;8415594165;141577000000;201578;71.24;71.65;11.56;11.57;6.58;6.6;7326;7640;63.69;64.34
570;Kab. Seluma;2019;46386615797;136254000000;11820733541;8736312456;2330936500;224898000000;243944000000;25582315074;93785110306;193800;67.14;67.56;13.26;13.27;7.9;7.91;7844;8209;65.99;66.69
571;Kab. Semarang;2019;199406000000;439116000000;21362678487;30138294134;31155333612;218389000000;724659000000;28000257754;295176000000;1053786;75.62;75.63;12.85;12.94;7.88;8.01;11807;12116;73.61;74.14
572;Kab. Serang;2019;85433272380;522320000000;13126622257;32354595914;6626806575;554056000000;984522000000;52798883475;482667000000;1508397;64.22;64.47;12.39;12.43;7.18;7.33;10693;10802;65.93;66.38
573;Kab. Serdang Bedagai;2019;91980948806;178909000000;9595127890;10890971494;3549817635;217418000000;488110000000;31036084716;260802000000;616396;68.08;68.46;12.57;12.59;8.51;8.53;10737;11061;69.69;70.21
574;Kab. Seruyan;2019;106031000000;154800000000;19118051501;12066915900;0;217822000000;213738000000;45369859167;294000000000;205880;69.24;69.25;11.97;11.98;7.76;7.93;9110;9385;67.04;67.57
575;Kab. Sidoarjo;2019;242187000000;836125000000;37883340251;147056000000;0;733920000000;1136200000000;28663692620;630864000000;2216804;73.82;73.98;14.34;14.75;10.24;10.25;13710;14168;79.5;80.05
576;Kab. Sikka;2019;70152953815;294337000000;14202826236;7465419325;7262810613;184155000000;310602000000;12297963992;95441852596;320401;66.61;67.07;12.7;12.87;6.69;6.71;7958;8313;63.89;64.75
577;Kab. Simalungun;2019;64853638521;274795000000;18188582614;13448663750;14806215308;337779000000;795079000000;10851007812;358133000000;867922;70.75;71.07;12.75;12.77;9.18;9.36;11311;11422;72.49;72.98
578;Kab. Simeulue;2019;87598951507;176190000000;11683859542;9079214524;11833855981;172694000000;186329000000;27079927587;137551000000;93228;65;65.22;13.25;13.51;9.07;9.08;6824;7210;64.74;65.7
580;Kab. Sintang;2019;148291000000;322639000000;19865015520;30734439343;10152999911;280965000000;489397000000;24576347485;274108000000;418785;71.29;71.62;11.98;12.02;6.73;6.89;8624;8823;66.07;66.7
581;Kab. Sleman;2019;152906000000;392903000000;29031214241;52452971460;33937998438;684026000000;739579000000;31510358139;321497000000;1219640;74.69;74.77;16.71;16.72;10.66;10.67;15844;16434;83.42;83.85
