No;nama_pemda;Tahun;Ekonomi;Kesehatan;Ketertiban;Lingkungan;ParBud;Pelayanan;Pendidikan;Sosial;Rumah_Fasum;Populasi;Base_AHH;Target_AHH;Base_HLS;Target_HLS;Base_RLS;Target_RLS;Base_PPK;Target_PPK;Base_IPM;Target_IPM
582;Kab. Solok;2019;68878062664;171144000000;20653528267;5705960370;10622117055;196684000000;464439000000;11109954551;145999000000;463923;67.95;68.34;13.02;13.03;7.84;7.85;10035;10309;68.6;69.08
585;Kab. Sukamara;2019;52168005053;93091667018;9430925801;10770214493;13747331467;128568000000;141764000000;7407955660;139727000000;64342;71.45;71.49;12.1;12.11;7.84;7.91;8482;8738;67.52;67.95
586;Kab. Sukoharjo;2019;91744342295;309625000000;30927811462;35614756744;6030225488;355588000000;691401000000;29118821751;226097000000;891912;77.54;77.55;13.81;13.82;8.84;9.1;11100;11557;76.07;76.84
587;Kab. Sumba Barat;2019;55495217977;150396000000;2577203427;17461562193;8103951910;143439000000;155322000000;14307588967;116367000000;129710;66.58;66.98;12.88;12.89;6.52;6.53;7275;7586;62.91;63.56
588;Kab. Sumba Barat Daya;2019;55292295344;102651000000;17121299716;6681759274;6560480091;139900000000;324605000000;9864455386;95416540456;344720;68.02;68.43;13.04;13.05;6.32;6.33;6298;6594;61.89;62.6
589;Kab. Sumba Timur;2019;86380352815;260340000000;8766227655;7515117852;9202267718;171225000000;295470000000;20009448316;168970000000;258486;64.45;64.94;12.8;12.81;6.74;6.86;9351;9640;64.65;65.34
590;Kab. Sumbawa Barat;2019;98291293070;160265000000;10772858435;22524356644;8185764644;215033000000;212299000000;24938102398;200303000000;148606;67.34;67.8;13.6;13.61;8.24;8.53;11496;11766;70.71;71.52
591;Kab. Sumedang;2019;166013000000;467338000000;29425251267;28557794167;17287767946;406700000000;1261180000000;22361690880;240327000000;1152400;72.14;72.29;12.94;12.96;8.17;8.27;10153;10406;70.99;71.46
592;Kab. Tabalong;2019;105392000000;264686000000;24007200505;45052144208;5350964144;275278000000;368312000000;41052928586;239065000000;254322;70.12;70.33;12.53;12.59;8.57;8.78;11227;11476;71.14;71.78
593;Kab. Takalar;2019;57947845607;235422000000;0;30308071443;7205852459;208178000000;319826000000;12328747690;116654000000;298688;66.64;67.01;12.22;12.25;6.91;7.18;10134;9845;66.07;66.94
594;Kab. Tanah Bumbu;2019;108091000000;270742000000;24499753649;46093032002;8007823000;369346000000;431395000000;25213932107;345704000000;360187;69.74;70.08;12.33;12.36;7.7;7.71;11710;12025;70.05;70.5
595;Kab. Tanah Laut;2019;93591432444;238617000000;19870879986;9401327520;12063521578;240649000000;442255000000;18084253568;215464000000;343890;69.08;69.31;11.95;11.96;7.38;7.64;11209;11318;68.49;69.04
596;Kab. Tanggamus;2019;46517317636;174709000000;11320675053;12088137156;11885700965;325421000000;524812000000;20130622189;165305000000;598299;68.04;68.4;12.15;12.17;6.96;7.21;9107;9294;65.67;66.37
597;Kab. Tanjung Jabung Timur;2019;118577000000;126357000000;7805081576;8265692034;0;182474000000;303718000000;11374132221;276671000000;221689;65.86;66.08;11.85;12.01;6.34;6.35;8904;9192;63.32;63.92
598;Kab. Tapanuli Tengah;2019;49426451527;209958000000;20158054363;10080600357;11435389594;232888000000;350237000000;16173873600;157154000000;376667;66.82;67.08;12.66;12.79;8.29;8.48;10067;10175;68.27;68.86
599;Kab. Tapanuli Utara;2019;70949193720;210647000000;15518589107;8512699384;11531277785;182283000000;411092000000;9042077840;134034000000;301789;68.11;68.46;13.66;13.68;9.65;9.71;11607;11791;72.91;73.33
601;Kab. Tasikmalaya;2019;260696000000;409495000000;16040792886;11322146305;17166820673;415554000000;1557080000000;30983393042;374722000000;1754128;68.96;69.21;12.48;12.52;7.13;7.17;7761;8092;65;65.64
602;Kab. Tegal;2019;159878000000;455633000000;16198084978;41850529139;18080479944;392192000000;858267000000;30505048478;237859000000;1440698;71.28;71.4;12.34;12.58;6.7;6.86;9433;9798;67.33;68.24
603;Kab. Teluk Wondama;2019;109019000000;137285000000;16915935171;10925121383;12983079967;271571000000;100545000000;29025101216;115774000000;32521;59.53;60.1;11.05;11.48;6.75;6.98;7921;8219;58.86;59.82
604;Kab. Temanggung;2019;67048361862;363095000000;9444825129;19147693790;8489337187;335911000000;525662000000;21624936438;109562000000;772018;75.47;75.48;12.08;12.13;6.94;7.15;9142;9489;68.83;69.56
605;Kab. Timor Tengah Selatan;2019;77915759944;203440000000;12279195900;6220631011;6840347683;221214000000;412952000000;19620487497;169948000000;467990;65.91;66.32;12.55;12.56;6.47;6.72;6855;6955;61.58;62.23
606;Kab. Toba Samosir;2019;62434901041;120731000000;14776056377;30759770087;11569777279;168690000000;281438000000;11521012342;120095000000;183712;69.59;69.93;13.26;13.28;10.34;10.36;12095;12375;74.48;74.92
607;Kab. Tojo Una Una;2019;74304936794;227721000000;13839458500;5881444205;13510173186;395470000000;264009000000;21157983764;131825000000;239420;64.61;65.14;12.155;12.47;8.16;8.38;7608;7751;63.38;64.52
608;Kab. Toraja Utara;2019;77482801703;131546000000;14814625524;10967709149;12951805463;223657000000;251101000000;15604584230;162871000000;231214;73.09;73.35;13.35;13.37;7.76;7.92;7783;7457;68.49;69.23
609;Kab. Trenggalek;2019;128984000000;355485000000;22416358611;10885528885;20130245430;291395000000;647408000000;18958618417;260871000000;694902;73.35;73.59;12.1;12.12;7.27;7.28;9034;9400;68.71;69.46
610;Kab. Tulang Bawang;2019;64558423000;161860000000;20216128446;12989112439;8977252155;297974000000;311590000000;17590813452;84735497822;450902;69.59;69.88;11.73;11.88;7.22;7.23;10553;10797;67.7;68.23
611;Kab. Wakatobi;2019;48853631023;161161000000;17077621338;6666482808;29653594573;164090000000;212891000000;13141423755;114876000000;95892;68.17;70.13;13.15;13.2;7.72;7.73;9136;9388;68.52;68.99
612;Kab. Wonosobo;2019;168386000000;299066000000;27321070616;25493494831;27319838771;254682000000;622443000000;22919244056;266134000000;790504;71.46;71.6;11.69;11.74;6.75;6.76;10503;10871;67.81;68.27
613;Kab. Jayawijaya;2019;50773462932;181230000000;21141942578;9107423720;22881016013;541346000000;102888000000;25750548287;76405240570;217887;58.99;59.39;11.58;11.93;5.17;5.3;7637;7835;56.82;57.79
615;Kota Ambon;2019;70859113026;117711000000;19050807555;37246526628;8105133287;302902000000;388015000000;20126630620;167334000000;478616;70.12;70.35;15.91;16.02;11.65;11.91;13699;14233;80.24;80.81
616;Kota Banda Aceh;2019;103491000000;190058000000;21055115765;61134488013;13856851335;210541000000;276827000000;30022200184;132778000000;270321;70.1;71.36;17.26;17.39;12.6;12.64;16234;16892;84.37;85.07
617;Kota Bandung;2019;487744000000;1207720000000;186320000000;185117000000;59143015038;1457420000000;1965080000000;156788000000;605319000000;2507888;74;74.14;14.18;14.19;10.63;10.74;16630;17254;81.06;81.62
618;Kota Banjarbaru;2019;57795750565;251234000000;17122561775;36148055402;5512000426;282366000000;256746000000;21946456614;268660000000;262719;71.67;71.87;14.79;14.8;10.93;10.94;13590;13949;78.83;79.22
619;Kota Banjarmasin;2019;85398902707;244495000000;31860939688;93925237847;18882898574;395834000000;475472000000;33986878240;366734000000;708606;70.75;70.98;13.91;13.92;9.93;9.94;14256;14547;76.83;77.16
620;Kota Batam;2019;439974000000;334965000000;59271881035;75935254817;14163134165;421591000000;605744000000;53501693044;525017000000;1376009;73.24;73.29;12.95;13.15;11.12;11.13;17560;18146;80.54;81.09
621;Kota Batu;2019;78033219315;57442606571;38398396178;43755480038;16043247299;254260000000;206779000000;30258925269;119323000000;205788;72.37;72.54;14.03;14.04;8.77;9.06;12057;12466;75.04;75.88
622;Kota Bengkulu;2019;74282099759;168636000000;14761964852;21026400866;6870635386;351120000000;324151000000;22610547547;149282000000;385100;69.72;70.04;16;16.01;11.58;11.78;13633;14030;79.67;80.35
623;Kota Binjai;2019;54641201133;185282000000;23586908008;25229884639;7277842361;201293000000;277780000000;14483787444;115001000000;276597;71.95;72.25;13.59;13.61;10.75;10.77;10750;11260;75.21;75.89
624;Kota Bukit Tinggi;2019;73977625447;62677659110;33737227637;34491312123;33169396765;193353000000;187027000000;17735124513;80360431010;53693;73.91;74.22;14.95;14.96;11.31;11.32;13035;13586;80.11;80.71
625;Kota Cilegon;2019;120946000000;291423000000;28405186056;50208697689;11038939080;558480000000;459188000000;40540387919;262102000000;437205;66.43;66.6;13.13;13.15;9.73;9.74;12900;13230;72.65;73.01
626;Kota Cimahi;2019;42570416828;335023000000;63888173619;50495501226;12428793962;353991000000;371335000000;16910159294;253984000000;614304;73.75;73.89;13.77;13.79;10.94;10.95;11921;12448;77.56;78.11
627;Kota Depok;2019;175663000000;429685000000;64910307047;176405000000;0;712260000000;754260000000;85440451841;832643000000;2406826;74.17;74.31;13.9;13.91;10.85;11;15262;15696;80.29;80.82
628;Kota Gunungsitoli;2019;27023263378;43047641027;4475585072;8401986080;7268393734;259831000000;88252751088;6012499893;151162000000;142426;70.67;71.02;13.71;13.73;8.41;8.58;7639;8058;68.33;69.3
629;Kota Jambi;2019;97083279146;295539000000;31189281742;52655517517;7159145333;390403000000;450509000000;19606792039;316383000000;607075;72.43;72.57;14.62;14.9;10.67;10.91;11912;12205;77.41;78.26
630;Kota Kendari;2019;51754650971;183187000000;0;25094186084;8419402724;356694000000;350915000000;32940267995;286919000000;392830;67.33;73.52;16.2;16.28;11.69;11.94;14168;14392;82.22;82.86
631;Kota Kotamobagu;2019;29685151771;175764000000;17648394889;11569836614;3544798419;170458000000;125436000000;18832759016;63241725274;128387;69.97;70.33;12.75;12.78;10.04;10.09;10663;11098;72.55;73.22
632;Kota Langsa;2019;39256820112;233829000000;16492904340;26767614616;22502768116;176616000000;177049000000;17412844778;112207000000;176811;69.16;69.37;15.19;15.34;11.06;11.1;11497;12099;76.34;77.16
633;Kota Lhokseumawe;2019;29370641677;91567015379;12035639280;30987491563;1024413609;212119000000;208143000000;12606817250;166515000000;207202;71.27;71.52;15.18;15.19;10.89;10.9;10863;11421;76.62;77.3
634;Kota Lubuk Linggau;2019;57919667575;151808000000;17972399446;15322758113;10649811031;279937000000;210501000000;12748651039;186701000000;233178;68.83;69.04;13.31;13.36;9.51;9.81;13288;13586;74.09;74.81
635;Kota Magelang;2019;73080363550;340800000000;20979667124;55425439821;7546832514;196836000000;174223000000;13079918205;112629000000;122111;76.72;76.75;13.8;13.81;10.31;10.33;11994;12514;78.31;78.8
636;Kota Makassar;2019;154996000000;540445000000;12684677621;129336000000;33330726811;1051120000000;899276000000;54227726361;672595000000;1526677;71.7;72;15.55;15.56;11.09;11.2;16597;16367;81.73;82.25
637;Kota Medan;2019;251029000000;707798000000;140344000000;708260000000;45141754786;1138620000000;959142000000;135472000000;973484000000;2279894;72.64;72.98;14.72;14.73;11.37;11.38;14845;15033;80.65;80.97
638;Kota Metro;2019;56006452580;244158000000;12904435986;12406228356;5787592462;221973000000;195082000000;16140181333;138051000000;167411;71.29;71.55;14.29;14.34;10.61;10.64;11636;12017;76.22;76.77
639;Kota Padang;2019;291184000000;291635000000;65908058164;64734743028;15526433067;419352000000;779409000000;35959181873;387790000000;443722;73.35;73.57;16.5;16.51;11.33;11.34;14312;14728;82.25;82.68
640;Kota Padang Panjang;2019;43158094643;130536000000;19785473640;0;9273698244;176485000000;125620000000;15334303427;79445151847;62524;72.58;72.77;15.04;15.05;11.44;11.45;10440;11013;77.3;78
641;Kota Padang Sidempuan;2019;47591537349;171825000000;25952242476;20795396409;7193749453;186087000000;238761000000;21843358039;82683244455;221827;68.73;69.15;14.51;14.53;10.63;10.7;10795;11181;74.38;75.06
642;Kota Pagar Alam;2019;54312194392;106639000000;12306968577;14018320264;10816881082;229889000000;142319000000;9161274903;230332000000;139192;66.14;66.41;12.83;12.84;9.08;9.14;8758;9291;67.62;68.44
643;Kota Palangkaraya;2019;68061280009;97389938498;20846736043;18162154760;12102785383;298588000000;317639000000;15491264875;236222000000;291667;73.16;73.19;14.93;14.94;11.42;11.51;13677;14091;80.34;80.77
644;Kota Palopo;2019;73335265560;290474000000;19596585064;30527173444;9150210977;213253000000;191939000000;23686185037;104491000000;184614;70.49;70.79;15.06;15.07;10.51;10.75;12662;12319;77.3;77.98
645;Kota Pangkal Pinang;2019;47711899523;154597000000;26978361005;37715088837;9676734598;262079000000;199791000000;14925819081;200455000000;1488792;72.86;73.17;12.83;12.99;9.78;9.8;15560;15883;77.43;77.97
646;Kota Pariaman;2019;56866145427;85604207068;22774254364;11196791042;43905899307;127023000000;152103000000;14187415987;94660482605;135573;69.87;70.15;14.52;14.53;10.36;10.37;12611;12958;76.26;76.7
647;Kota Payakumbuh;2019;64243644241;163596000000;11368664986;16428312832;29640734047;199294000000;173990000000;26568124878;120221000000;130773;73.33;73.61;14.24;14.25;10.46;10.72;13114;13464;78.23;78.95
648;Kota Pekalongan;2019;72915427754;195333000000;19214757326;27446715172;4250657259;247099000000;244575000000;20207107766;122634000000;307097;74.25;74.28;12.79;12.83;8.57;8.71;12312;12680;74.24;74.77
649;Kota Pekanbaru;2019;188342000000;232044000000;65230384510;116867000000;11137653186;632602000000;648707000000;31945728675;438383000000;1143359;71.94;72.22;15.34;15.37;11.22;11.43;14778;15206;80.66;81.35
650;Kota Pontianak;2019;102631000000;260880000000;24888285286;197705000000;0;293069000000;465077000000;25260746932;246383000000;646661;72.41;72.8;14.81;14.99;9.9;10.14;14322;14515;78.56;79.35
651;Kota Prabumulih;2019;49198765862;169857000000;10556306672;7967253523;614480647;370947000000;222657000000;20540998192;294217000000;188669;69.88;70.09;12.89;12.9;9.71;9.72;12765;13072;74.04;74.4
653;Kota Salatiga;2019;158099000000;221746000000;11196561614;0;6342790107;220343000000;211423000000;17721116580;95182336159;194084;77.11;77.22;15;15.34;10.4;10.41;15464;15944;82.41;83.12
654;Kota Samarinda;2019;196989000000;332133000000;81152532101;115977000000;20258897327;542893000000;678464000000;37773252151;1059580000000;872768;73.93;74.17;14.66;14.7;10.46;10.47;14466;14613;79.93;80.2
655;Kota Serang;2019;76084255431;150198000000;113635000000;41498931341;11949030902;277514000000;470369000000;32386674123;160630000000;688603;67.58;67.83;12.65;12.77;8.62;8.67;13261;13418;71.68;72.1
656;Kota Sibolga;2019;62197842572;125650000000;17349443319;2709401078;11835027474;163558000000;119642000000;19557613632;58584450176;87626;68.36;68.77;13.13;13.15;9.91;10.18;11405;11656;72.65;73.41
657;Kota Singkawang;2019;63825087872;234089000000;10235499655;19991745803;0;177458000000;230477000000;5085631226;124108000000;222910;71.41;71.85;12.87;12.89;7.57;7.72;11514;11789;71.08;71.72
658;Kota Solok;2019;50186948637;80222784355;17310180811;15472179428;11202065186;190173000000;140806000000;17788474457;87640107157;950871;73.14;73.45;14.3;14.31;11.01;11.02;11968;12337;77.89;78.38
659;Kota Subulussalam;2019;63826871232;101916000000;7048598705;11136614995;3546548000;130731000000;141867000000;17021879865;128235000000;81417;63.69;63.94;14.2;14.21;7.39;7.58;7039;7463;63.48;64.46
660;Kota Sungai Penuh;2019;61520761226;78458028392;18124017419;13115886686;10311810043;176191000000;180107000000;15122273492;155233000000;91293;71.84;72.01;14.77;14.78;9.84;10.08;10186;10510;74.67;75.36
661;Kota Surabaya;2019;557006000000;1055470000000;262406000000;1281910000000;56446023077;1882890000000;2066880000000;240609000000;1756820000000;2885555;73.98;74.13;14.41;14.78;10.46;10.47;16726;17157;81.74;82.22
662;Kota Tangerang;2019;272652000000;613591000000;91275081791;196570000000;58051195410;1153830000000;1180340000000;68830285917;733576000000;2229901;71.45;71.57;13.83;13.84;10.51;10.65;14443;14860;77.92;78.43
663;Kota Tangerang Selatan;2019;96158045852;687421000000;46012141953;306446000000;12478949426;984838000000;665567000000;40963623220;793013000000;1747906;72.26;72.41;14.42;14.43;11.78;11.8;15672;15988;81.17;81.48
664;Kota Tanjung Balai;2019;36214016771;115484000000;24785890338;23079274764;783204200;198363000000;129041000000;28910507075;91247864329;175223;62.6;63.02;12.47;12.49;9.24;9.26;11102;11383;68;68.51
667;Kota Tegal;2019;75763960558;280765000000;18573863145;34468060202;6936038455;203270000000;275285000000;14426972119;136415000000;249905;74.3;74.34;12.9;13.04;8.3;8.31;12830;13250;74.44;74.93
668;Kota Ternate;2019;86389622065;82683337267;16450630984;21770794071;18397031567;317905000000;241202000000;17407969364;171502000000;233208;70.5;70.85;15.72;15.73;11.26;11.58;13166;13632;79.13;80.03
669;Kota Tidore Kepulauan;2019;58157571156;168908000000;8698443636;10593702224;14617867701;239644000000;185040000000;17746104215;95758434715;101414;68.87;69.22;13.91;14.2;9.63;9.64;8232;8608;69.89;70.83
670;Kota Yogyakarta;2019;186239000000;331879000000;49999384098;83912004131;38098331041;431049000000;383865000000;29677107374;197893000000;431939;74.45;74.56;17.05;17.28;11.44;11.45;18629;19125;86.11;86.65
671;Provinsi Aceh;2019;1669150000000;2313840000000;205126000000;16669568934;200647000000;1842270000000;3489530000000;224505000000;2346360000000;5371532;69.64;69.87;14.27;14.3;9.09;9.18;9186;9603;71.19;71.9
672;Provinsi Bangka Belitung;2019;263640000000;234454000000;31523959676;15766354881;29587313774;728659000000;609765000000;48590100906;302036000000;337337;70.18;70.5;11.87;11.94;7.84;7.98;12666;12959;70.67;71.3
673;Provinsi Banten;2019;534094000000;576537000000;79816234363;55439047227;33736462047;3463800000000;2093690000000;87890680294;1425270000000;12927316;69.64;69.84;12.85;12.88;8.62;8.74;11994;12267;71.95;72.44
675;Provinsi Gorontalo;2019;232450000000;141879000000;13292032207;30734042200;15990364438;593890000000;470192000000;30131365104;251256000000;1202631;67.45;67.93;13.03;13.06;7.46;7.69;9839;10075;67.71;68.49
676;Provinsi Jambi;2019;369767000000;467024000000;41808081918;25159129129;36547409078;1171950000000;1117490000000;61243746440;655302000000;3623826;70.89;71.06;12.9;12.93;8.23;8.45;10357;10592;70.65;71.26
677;Provinsi Jawa Tengah;2019;671887000000;1807390000000;58692090995;18028781391;0;460827000000;2479360000000;101544000000;908030000000;34718204;74.18;74.23;12.63;12.68;7.35;7.53;10777;11102;71.12;71.73
678;Provinsi Jawa Timur;2019;2552900000000;4105730000000;47365191615;70217661184;144916000000;11038500000000;6243330000000;379347000000;1357370000000;39500851;70.97;71.18;13.09;13.1;7.39;7.59;10973;11380;70.77;71.5
679;Provinsi Kalimantan Barat;2019;494721000000;431192000000;37712236398;0;8309660166;1593820000000;1142620000000;46449573366;930461000000;5069127;70.18;70.56;12.55;12.58;7.12;7.31;8860;9055;66.98;67.65
680;Provinsi Kalimantan Selatan;2019;559821000000;1077520000000;57680745862;41271626989;28116667974;1300910000000;1459340000000;116171000000;891804000000;4244096;68.23;68.49;12.5;12.52;8;8.2;12062;12253;70.17;70.72
681;Provinsi Kalimantan Tengah;2019;444885000000;403163000000;58826307884;13636318863;32224320332;1122820000000;1009320000000;69027607955;1159050000000;2714859;69.64;69.69;12.55;12.57;8.37;8.51;10931;11236;70.42;70.91
682;Provinsi Kalimantan Timur;2019;618862000000;1258920000000;46992685926;24969765490;31981205835;1745580000000;1669960000000;60519252571;1030440000000;3721389;73.96;74.22;13.67;13.69;9.48;9.7;11917;12359;75.83;76.61
683;Provinsi Kalimantan Utara;2019;220403000000;307747000000;27402973174;8422083889;9944005672;807101000000;310592000000;22753950927;417460000000;695562;72.5;72.54;12.82;12.84;8.87;8.94;8943;9343;70.56;71.15
684;Provinsi Kepulauan Riau;2019;289916000000;385787000000;43887146159;26760746681;48338203072;1140750000000;692390000000;41923202771;483266000000;2189653;69.64;69.8;12.82;12.83;9.81;9.99;13976;14466;74.84;75.48
685;Provinsi Lampung;2019;320687000000;511904000000;32159875850;10715453924;29677833614;2366920000000;1486940000000;43510762724;781125000000;8447737;70.18;70.51;12.61;12.63;7.82;7.92;9858;10114;69.02;69.57
686;Provinsi Maluku;2019;305222000000;253701000000;28096918854;7495634145;23539356157;829412000000;830401000000;34140959804;447034000000;1802870;65.59;65.82;13.91;13.94;9.38;9.81;8433;8887;68.87;69.45
687;Provinsi Nusa Tenggara Barat;2019;354806000000;659628000000;64015656368;73411350202;36707429456;1403390000000;1193730000000;66936614382;522919000000;5070385;65.87;66.28;13.47;13.48;7.03;7.27;10284;10640;67.3;68.14
688;Provinsi Papua;2019;712695000000;1029820000000;57549021990;14621447778;48401789002;4740300000000;2128800000000;49797252339;1520650000000;3379302;65.36;65.65;10.83;11.05;6.52;6.65;7159;7336;60.06;60.84
689;Provinsi Riau;2019;467796000000;887613000000;53753502491;150317000000;63876154956;2193120000000;1939270000000;71013549998;1026360000000;6971745;71.19;71.48;13.11;13.14;8.92;9.03;10968;11255;72.44;73
690;Provinsi Sulawesi Barat;2019;223799000000;146314000000;24976007107;10019010891;11919658427;728671000000;440552000000;30716917448;167466000000;1380256;64.58;64.82;12.59;12.62;7.5;7.73;9051;9235;65.1;65.73
691;Provinsi Sulawesi Selatan;2019;745436000000;570601000000;44669233692;19817564768;33711631509;2398040000000;2634730000000;99825482505;699209000000;8851240;70.08;70.43;13.34;13.36;8.02;8.26;10814;10489;70.9;71.66
692;Provinsi Sulawesi Tenggara;2019;403691000000;286773000000;45471637053;13199086643;28276516289;1018850000000;1101730000000;32831279278;812860000000;2704737;70.72;70.97;13.53;13.55;8.69;8.91;9262;9436;70.61;71.2
693;Provinsi Sulawesi Utara;2019;364891000000;511819000000;28297362168;11976009147;41342659569;1113850000000;1038500000000;52705432588;511419000000;2506981;71.26;71.58;12.68;12.73;9.24;9.43;10731;11115;72.2;72.99
694;Provinsi Sumatera Selatan;2019;307244000000;299970000000;39192065263;27920892250;33417818335;2432880000000;1727340000000;76647134603;1478140000000;8497196;69.41;69.65;12.36;12.39;8;8.18;10652;10937;69.39;70.02
695;Kab. Jayawijaya;2019;50773462932;181230000000;21141942578;9107423720;22881016013;541346000000;102888000000;25750548287;76405240570;217887;58.99;59.39;11.58;11.93;5.17;5.3;7637;7835;56.82;57.79
696;Kab. Aceh Jaya;2019;92833363699;136915000000;7067059942;11662817284;2923014368;161882000000;198811000000;29535802162;97467731167;92892;66.88;67.11;13.96;13.97;8.37;8.66;9262;9682;68.83;69.74
697;Kab. Banyuasin;2019;141955000000;289371000000;40610375836;20694647417;5748718800;476636000000;735543000000;24617533696;268042000000;857097;68.55;68.76;11.73;11.74;7.17;7.19;9760;10135;66.4;66.9
698;Kab. Boyolali;2019;187253000000;374415000000;19723593050;47419332583;11973972827;300702000000;766558000000;19641457035;270304000000;984807;75.79;75.83;12.16;12.43;7.55;7.56;12758;13079;73.22;73.8
699;Kab. Dairi;2019;52009428989;167381000000;14205446006;13005969977;14986198163;164523000000;339889000000;14564115265;157007000000;284304;68.41;68.79;13.07;13.09;9.15;9.34;10492;10602;70.89;71.42
700;Kab. Indragiri Hulu;2019;109882000000;207313000000;26549856614;10453609467;0;298781000000;483082000000;30677196580;207649000000;441789;69.97;70.2;12.32;12.35;8.16;8.17;10481;10738;69.66;70.05
701;Kab. Kebumen;2019;190126000000;454405000000;24154817183;31169001163;14993022651;278571000000;976386000000;30988093938;245732000000;1197982;73.11;73.22;12.91;13.04;7.34;7.53;8757;9066;68.8;69.6
702;Kab. Kolaka;2019;92296250306;278115000000;20906357060;20784166586;9217582688;279880000000;267154000000;18014614684;127824000000;261664;69.76;70.72;12.39;12.8;8.57;8.76;12384;12525;72.07;73.01
703;Kab. Kolaka Timur;2019;35458218121;80708208644;6122308926;6405136823;5977612277;137509000000;166117000000;10154491532;118799000000;133324;68.95;72.33;11.89;12.15;7.18;7.35;7606;7832;65.53;66.49
704;Kab. Lebong;2019;39048536136;85365852018;14280220235;7963084730;6566437110;161369000000;138529000000;11606061524;112275000000;116600;62.73;63.12;12.3;12.56;7.89;7.9;11071;11177;66.28;66.84
705;Kab. Manggarai Timur;2019;54241588162;166636000000;6042565018;6310023978;4796958469;133074000000;295647000000;7338176703;178821000000;287207;67.62;67.98;11.34;11.69;6.65;6.87;5809;5919;59.49;60.47
706;Kab. Mempawah;2019;61968838791;177098000000;13394928218;8392909459;3545361750;168810000000;298254000000;12012059636;141725000000;264225;70.54;70.9;12.31;12.33;6.63;6.82;7779;7913;64.9;65.5
707;Kab. Pamekasan;2019;73871495213;324483000000;18997519544;19761848409;24000976762;624029000000;604229000000;23018599790;236758000000;871497;67.22;67.45;13.61;13.62;6.35;6.4;8311;8536;65.41;65.94
708;Kab. Sinjai;2019;61894539522;264676000000;13342618281;11084822034;7954763529;197184000000;331964000000;16637688074;82416354487;244125;66.83;67.17;12.85;12.87;7.29;7.48;9098;8816;66.24;67.05
709;Kab. Sragen;2019;96277771925;391294000000;19259278654;20335653692;4933058480;333052000000;681832000000;15755333079;161736000000;890518;75.6;75.62;12.65;12.69;7.22;7.34;12391;12720;72.96;73.43
710;Kab. Sukabumi;2019;262538000000;732848000000;45816720044;56417174353;33010897450;613431000000;1253450000000;61923660201;414107000000;2466272;70.49;70.73;12.2;12.22;6.8;7.02;8618;8973;66.05;66.87
711;Kab. Tapin;2019;64631161549;152109000000;12637182276;16002394175;5586593247;208736000000;293864000000;16661715212;205976000000;191372;69.98;70.23;11.85;11.86;7.54;7.75;11847;12088;69.53;70.13
712;Kota Sabang;2019;51988609592;99723247734;21800621930;14463459455;18275530511;141492000000;144576000000;9200841897;122399000000;34874;70.21;70.45;13.66;13.81;10.97;11.13;10899;11444;74.82;75.77
713;Kota Tanjung Pinang;2019;58647511646;158457000000;38660535536;12634438849;23828327338;279386000000;266625000000;41500613970;150912000000;211583;71.93;72.02;14.08;14.09;9.98;9.99;15292;15838;78.33;78.73
714;Kota Tasikmalaya;2019;140784000000;384070000000;23560239581;39290029885;4356897722;431709000000;529886000000;23875212409;341870000000;663517;71.7;71.93;13.42;13.44;9.04;9.13;9855;10414;72.03;72.84
715;Provinsi DKI Jakarta;2019;5270590000000;8708860000000;2673330000000;5063230000000;878581000000;11297200000000;21733700000000;1466600000000;7007200000000;10557810;72.67;72.79;12.95;12.97;11.05;11.06;18128;18527;80.47;80.76
