No;nama_pemda;Tahun;Ekonomi;Kesehatan;Ketertiban;Lingkungan;ParBud;Pelayanan;Pendidikan;Sosial;Rumah_Fasum;Populasi;Base_AHH;Target_AHH;Base_HLS;Target_HLS;Base_RLS;Target_RLS;Base_PPK;Target_PPK;Base_IPM;Target_IPM
151;Kab. Maros;2018;80091774140;2,24343E+11;39621199703;26125847844;10344545980;2,28571E+11;3,8539E+11;4246523791;2,54814E+11;349822;68,6;68,74;12,97;12,99;7,42;7,43;10981;10558;68,42;68,94
152;Kab. Maybrat;2018;26438927244;71480883776;24547022989;5899643924;10825462689;2,44852E+11;83444351876;10083423465;1,96334E+11;40102;64,8;64,93;12,53;12,67;6,43;6,53;4905;5168;57,23;58,16
153;Kab. Merangin;2018;63518098079;1,88608E+11;20451153224;12988053773;2568089696;2,24232E+11;3,69952E+11;15697444994;1,75553E+11;383480;70,94;71,04;11,95;11,97;7,62;7,67;9753;10133;68,3;68,81
154;Kab. Merauke;2018;1,77612E+11;3,51911E+11;26606369318;27650491926;5573482000;5,37795E+11;3,56709E+11;55735953809;3,98135E+11;225714;66,56;66,71;12,98;13,24;8,27;8,49;10277;10430;68,64;69,38
155;Kab. Mimika;2018;3,82708E+11;4,06441E+11;3,81801E+11;54204221331;12852714080;8,61816E+11;2,88008E+11;47859216246;0;215493;71,93;72,06;11,48;11,77;9,54;9,76;11591;11700;72,42;73,15
156;Kab. Minahasa;2018;63504004314;1,51504E+11;21465616140;12678424506;7141753219;3,13207E+11;3,40083E+11;20185731190;1,14842E+11;338364;70,46;70,67;13,94;13,96;9,55;9,56;12026;12319;74,59;74,97
157;Kab. Minahasa Selatan;2018;50179162470;1,27715E+11;13355840751;4745905250;9139348078;2,03368E+11;2,35437E+11;10909883330;1,63691E+11;209501;69,24;69,47;11,76;12,08;8,72;8,84;11162;11410;70,05;70,86
158;Kab. Mojokerto;2018;1,02285E+11;4,48719E+11;24393256162;18430005626;22894445981;3,4988E+11;6,86132E+11;17145765150;3,05099E+11;1117688;72,1;72,24;12,51;12,52;8,15;8,18;12026;12240;72,36;72,64
159;Kab. Morowali;2018;92431164061;1,83401E+11;16947514156;12451307677;4490975975;2,19649E+11;2,08119E+11;13464121390;2,0258E+11;251190;68,07;68,45;12,68;12,88;8,73;8,98;11012;11159;70,41;71,14
160;Kab. Muara Enim;2018;1,62276E+11;3,54725E+11;32310356146;25599499533;2724585653;4,43206E+11;5,94393E+11;26331308346;3,83326E+11;628661;68,14;68,38;11,94;11,95;7,49;7,6;10575;11012;67,63;68,28
161;Kab. Muaro Jambi;2018;50804101231;1,47563E+11;10262345164;5593564420;5514606282;1,88543E+11;3,71605E+11;11575804099;2,50362E+11;432305;70,9;71,02;12,8;12,81;8,08;8,09;8145;8456;67,86;68,34
162;Kab. Mukomuko;2018;47683820802;1,11927E+11;10107980124;3999201322;3291935282;1,90067E+11;1,90876E+11;8124137654;1,65212E+11;189670;65,93;66,16;12,7;12,71;7,87;7,88;9770;10036;67,07;67,47
163;Kab. Muna Barat;2018;54057677114;53037747986;13521796654;5432586225;5151031971;97552286907;1,28481E+11;14457588470;1,42458E+11;80619;69,79;68,06;12,06;12,13;6,48;6,76;7288;7405;63,43;64,11
164;Kab. Musi Banyuasin;2018;1,40141E+11;3,55438E+11;30973306333;49681415226;3040859936;4,72128E+11;6,73387E+11;45632865683;7,99047E+11;640065;68,14;68,33;11,97;11,98;7,59;7,6;9705;10212;66,96;67,57
165;Kab. Musi Rawas;2018;1,07288E+11;2,87318E+11;21834052598;10009317474;6047708092;2,53167E+11;3,53546E+11;21765663891;3,15245E+11;400239;67,34;67,59;11,74;11,99;7,18;7,28;9218;9562;65,31;66,18
166;Kab. Nabire;2018;1,06357E+11;2,54498E+11;13792737555;9498209690;10051600659;5,40401E+11;2,03284E+11;25341640064;1,3668E+11;147921;67,55;67,72;10,86;11,14;9,49;9,53;8983;9143;67,11;67,7
167;Kab. Nagan Raya;2018;55093274820;1,53162E+11;5339088389;10815854443;7077382414;1,62662E+11;2,23799E+11;20330264832;1,35862E+11;164483;68,76;68,89;14,1;14,11;8,25;8,26;7732;7936;67,78;68,15
168;Kab. Nagekeo;2018;62691680017;84820706059;10453184147;4016123876;5380196897;1,15047E+11;1,81309E+11;6910526518;1,22664E+11;144414;66,36;66,62;12,45;12,46;7,52;7,82;8119;8219;64,74;65,35
169;Kab. Natuna;2018;81296543866;1,33387E+11;23006524206;7247389699;774436620;2,29944E+11;1,63714E+11;14292110677;1,36291E+11;76968;64,33;64,57;13,87;13,88;8,47;8,71;13970;14217;71,52;72,1
170;Kab. Nganjuk;2018;90689214060;4,48646E+11;13090320154;22440834180;9360203518;2,7126E+11;8,09539E+11;15606411050;2,61069E+11;1054611;71,11;71,25;12,82;12,83;7,38;7,61;11352;11560;70,69;71,23
171;Kab. Nias Barat;2018;28975075431;75827296597;6144987420;2017507600;6604113183;2,10171E+11;64928256422;5302198267;1,89001E+11;81663;68,28;68,5;12,61;12,66;5,78;6;5594;5817;59,56;60,42
172;Kab. Nias Selatan;2018;38532474415;95091109137;6864335764;5516716162;7880376276;3,92527E+11;1,95864E+11;6059465587;1,29107E+11;317207;68;68,24;11,98;12,2;4,95;5,2;6792;6941;59,85;60,75
173;Kab. Nias Utara;2018;38503849011;52138127250;12027566364;3366334757;11920445719;2,31049E+11;1,02671E+11;7042956141;1,31133E+11;137002;68,77;68,98;12,57;12,58;6,08;6,09;5835;6041;60,57;61,08
174;Kab. Nunukan;2018;71432596344;1,71809E+11;34128738230;16608824455;7130650757;2,15332E+11;2,62253E+11;14026360326;1,85281E+11;192235;71,25;71,27;12,61;12,62;7,65;7,73;6680;6956;65,1;65,67
175;Kab. Ogan Ilir;2018;40830265578;1,36619E+11;13333871589;5593374191;1973674000;2,39286E+11;4,17113E+11;12662243650;2,33436E+11;424774;64,72;64,96;12,27;12,28;7,37;7,58;9972;10412;65,63;66,43
176;Kab. Ogan Komering Ilir;2018;63815591982;2,31359E+11;9659699820;10927806150;3445000826;3,28253E+11;6,1612E+11;17709899845;2,51104E+11;821528;68,04;68,22;11,39;11,4;7,01;7,02;10306;10706;66,11;66,57
177;Kab. Ogan Komering Ulu;2018;68811778360;1,87768E+11;23855386230;11798089582;8163772440;2,39063E+11;3,31665E+11;20737208014;3,25062E+11;364260;67,66;67,83;12,56;12,57;8,67;8,68;9340;9940;68,28;69,01
178;Kab. OKU Timur;2018;58741737996;2,5826E+11;22457816725;10072300325;3315725703;2,18102E+11;5,09189E+11;12769945553;2,08854E+11;670653;68,44;68,65;11,97;12,04;7,12;7,27;11169;11612;67,84;68,58
179;Kab. Padang Lawas;2018;40108836678;1,49308E+11;24007755243;5426262801;129046328;1,74558E+11;2,2075E+11;8752015898;1,84239E+11;275515;66,5;66,69;12,99;13;8,43;8,67;8445;8772;66,82;67,59
180;Kab. Padang Lawas Utara;2018;46540732076;1,23676E+11;22349843938;10391135599;4416070604;1,68417E+11;2,40891E+11;8642025965;1,705E+11;267771;66,58;66,77;12,41;12,42;8,93;9,06;9737;9912;68,34;68,77
181;Kab. Pandeglang;2018;1,14203E+11;2,99711E+11;17621806675;1,86572E+11;13119784980;3,47175E+11;1,01958E+12;16878737550;77275885489;1209011;64,04;64,24;13,41;13,42;6,63;6,72;8358;8613;63,82;64,34
182;Kab. Pangandaran;2018;49799582965;1,74035E+11;12698415973;9678761586;10866577540;1,43935E+11;3,69188E+11;9261580548;1,95477E+11;397187;70,56;70,84;12,03;12,04;7,37;7,58;8588;8968;66,6;67,44
183;Kab. Pangkajene Kepulauan;2018;69229588104;2,58246E+11;7614870838;26009490477;10173593639;2,32975E+11;4,12765E+11;36184592620;1,98972E+11;332674;65,86;66,12;12,4;12,41;7,48;7,49;11392;11197;67,25;67,71
184;Kab. Paniai;2018;61285098342;2,06403E+11;15989939214;6426466729;10841065451;4,13166E+11;1,06427E+11;21808937266;64251978512;173392;65,7;65,94;10,33;10,47;3,94;4,2;6355;6535;54,91;55,83
185;Kab. Parigi Moutong;2018;80996291299;2,53975E+11;16154245304;5264372733;7088741841;2,84754E+11;4,10194E+11;25340310706;1,16341E+11;152480;63,19;63,57;12,475;12,485;6,98;7,18;9488;9808;64,09;64,85
186;Kab. Pasaman;2018;65356156594;2,08081E+11;12996261508;8340453154;2172244206;1,51021E+11;3,31899E+11;17684401771;84461282148;379514;66,54;66,82;12,72;12,78;7,65;7,66;7882;8238;64,94;65,6
187;Kab. Pasaman Barat;2018;59214376457;2,41827E+11;12052515922;9366060750;6483617824;1,76312E+11;3,59137E+11;57613105493;1,78111E+11;241571;67,15;67,37;13,06;13,22;7,85;7,86;8704;8979;66,83;67,43
188;Kab. Pati;2018;1,26723E+11;4,34337E+11;21232004766;9309675806;8895927369;2,91246E+11;8,30803E+11;18137334594;3,7762E+11;1253299;75,8;75,93;12,29;12,3;7,08;7,18;9813;10190;70,12;70,71
189;Kab. Pegunungan Arfak;2018;31546748634;40180416058;18330554602;1449910000;3604295834;2,83639E+11;60197203440;32193623759;2,10639E+11;30409;66,72;66,89;11,27;11,33;4,91;4,97;4683;4979;54,39;55,31
190;Kab. Pekalongan;2018;1,04514E+11;4,02852E+11;15606439307;11491802614;5675724992;2,78566E+11;6,76316E+11;41952230624;2,82065E+11;891892;73,46;73,53;12,16;12,17;6,73;6,74;9702;10221;68,4;68,97
191;Kab. Pelalawan;2018;76115200034;1,62723E+11;39176638404;16708692132;10616545773;2,65076E+11;3,92333E+11;23254120085;1,10439E+11;460780;70,54;70,74;11,89;12,16;8,19;8,44;11725;11894;70,59;71,44
192;Kab. Pemalang;2018;1,48207E+11;3,21089E+11;10312978567;25929232805;21032210024;2,88275E+11;8,90619E+11;22147961892;1,72716E+11;1299724;72,98;73,11;11,88;11,91;6,31;6,32;7785;8186;65,04;65,67
193;Kab. Penukal Abab Lematang Ilir;2018;53071479736;1,09839E+11;14221370488;11557428891;7542671912;2,28379E+11;1,62276E+11;17876625588;6,046E+11;187554;67,7;67,88;11,3;11,7;6,57;6,58;7834;8136;62,58;63,49
194;Kab. Pesawaran;2018;63069625113;1,34602E+11;28208062207;5666773316;9378911094;2,18509E+11;3,871E+11;13858042479;2,68581E+11;440192;68,29;68,53;12,26;12,28;7,45;7,47;7449;7724;64,43;64,97
195;Kab. Pesisir Barat;2018;49511348756;75917215375;8863612669;3532818626;7645577967;1,82921E+11;1,57805E+11;10328163158;1,55275E+11;153743;62,54;62,85;11,95;11,97;7,58;7,59;7890;8355;62,2;62,96
196;Kab. Pesisir Selatan;2018;1,07412E+11;2,10354E+11;14837415479;1,90065E+11;11146751992;2,018E+11;5,54696E+11;5730692654;31577452553;90373;70,23;70,45;13,06;13,3;8,13;8,14;8819;9089;68,74;69,4
197;Kab. Pidie;2018;80127088458;3,80945E+11;11323483577;22471036752;7336681551;2,06569E+11;4,26139E+11;75832183847;1,84222E+11;439131;66,58;66,68;14,25;14,44;8,76;8,81;9377;9492;69,52;69,93
198;Kab. Pidie Jaya;2018;62427038549;1,36596E+11;7055822495;4693853474;3387606400;4,62263E+11;1,75835E+11;11857719373;1,35835E+11;158091;69,68;69,81;14,52;14,53;8,84;8,86;9691;9967;71,73;71,12
199;Kab. Pinrang;2018;1,1501E+11;2,19244E+11;15403810230;13869248243;9716020589;2,93034E+11;3,39505E+11;10771573701;1,97008E+11;374583;68,68;68,98;13,19;13,2;7,54;7,84;11828;11508;69,9;70,62
200;Kab. Pohuwato;2018;89699693807;1,33541E+11;13368294605;10709973278;7793921568;1,78155E+11;1,85021E+11;23425582493;1,16799E+11;157551;62,86;63,25;12,34;12,35;6,84;6,85;9715;10076;63,88;64,44
201;Kab. Polewali Mandar;2018;65017200718;2,85331E+11;8475210955;13852433224;2078604988;3,1531E+11;4,043E+11;4757484157;1,39214E+11;437662;61,76;61,97;13,01;13,02;7,09;7,24;7947;8355;62,35;63,14
